insert into cars (name, color, speed, type, model_id, created_at) values ('Suzuki', 'Goldenrod', 357, 'light', 150, '2016-03-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Khaki', 185, 'light', 6, '2014-09-18');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Green', 339, 'heavy', 145, '2022-04-02');
insert into cars (name, color, speed, type, model_id, created_at) values ('Saturn', 'Yellow', 286, 'heavy', 138, '2023-03-06');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Crimson', 187, 'heavy', 110, '2015-07-13');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Purple', 370, 'heavy', 142, '2014-05-01');
insert into cars (name, color, speed, type, model_id, created_at) values ('Suzuki', 'Orange', 149, 'heavy', 77, '2011-09-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Teal', 303, 'light', 102, '2016-04-13');
insert into cars (name, color, speed, type, model_id, created_at) values ('Scion', 'Yellow', 185, 'light', 72, '2019-03-01');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Red', 318, 'light', 26, '2017-06-13');
insert into cars (name, color, speed, type, model_id, created_at) values ('Jeep', 'Violet', 313, 'heavy', 124, '2014-07-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chrysler', 'Orange', 270, 'light', 122, '2022-12-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Acura', 'Aquamarine', 259, 'light', 79, '2010-06-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercedes-Benz', 'Violet', 286, 'heavy', 157, '2023-03-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Turquoise', 181, 'light', 18, '2018-01-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Purple', 348, 'heavy', 51, '2013-05-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Saturn', 'Fuscia', 157, 'light', 41, '2022-05-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Aquamarine', 274, 'heavy', 101, '2011-01-07');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Turquoise', 304, 'light', 103, '2017-02-04');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Fuscia', 315, 'light', 144, '2021-09-06');
insert into cars (name, color, speed, type, model_id, created_at) values ('Pontiac', 'Red', 276, 'heavy', 124, '2020-09-02');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Turquoise', 342, 'heavy', 21, '2019-03-01');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Green', 215, 'heavy', 56, '2023-07-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lamborghini', 'Turquoise', 167, 'heavy', 111, '2012-03-08');
insert into cars (name, color, speed, type, model_id, created_at) values ('Maserati', 'Mauv', 141, 'heavy', 69, '2017-04-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Saab', 'Aquamarine', 313, 'light', 111, '2023-06-05');
